NRDB编号,循环,卡包,序号,英文名称,名称,文本,风味文字,阵营,派系,类型,子类型,是否独有,构筑张数限制,推进需求,议案分数,基础中转,牌组最小张数,牌组影响力上限,费用,强度,内存费用,销毁费用,影响力费用,卡图作者
30002,核心网关,核心网关,2,Wildcat Strike,野猫罢工,以公司的选择结算下列中的1项: <ul><li>获得6[credit]。</li><li>抽4张卡牌。</li></ul>,他们可以买通公会领袖，但却不能阻止我们走上街头!,潜袭者,反叛者,事件,,,3,,,,,,2,,,,1,David Lei
30003,核心网关,核心网关,3,Carnivore,肉食动物,"+1[mu]
读取，每回合限一次 → <strong>从你的操控器销毁2张卡牌:</strong> 销毁你正在读取的卡牌。
每位玩家限制1个<strong>控制台</strong>。","“它饥不可耐到用问题去打牙祭。”
—野狼",潜袭者,反叛者,硬件,控制台,是,3,,,,,,4,,,,3,Martin de Diego Sádaba
30004,核心网关,核心网关,4,Botulus,肉毒杆菌,"仅能安装在一层防火墙上。<em>（如果被附载的防火墙被卸载，销毁本程序。）</em>
当你安装本程序时及你的回合开始时，放置1枚病毒指示物到本程序上。
<strong>所附载的病毒指示物:</strong> 破解被附载的防火墙上的1条子进程。",是你吃坏东西了吗？,潜袭者,反叛者,程序,木马 - 病毒,,3,,,,,,2,,1,,3,Cat Shen
30005,核心网关,核心网关,5,Buzzsaw,电锯,"对接 → <strong>1[credit]:</strong> 破解最多2条<strong>门禁</strong>子进程。
<strong>3[credit]:</strong> 强度+1。",破坏是一种艺术。,潜袭者,反叛者,程序,解码模块 - 破解器,,3,,,,,,4,3,1,,1,Cat Shen
30006,核心网关,核心网关,6,Cleaver,剁肉刀,"对接 → <strong>1[credit]:</strong> 破解最多2条<strong>屏障</strong>子进程。
<strong>2[credit]:</strong> 强度+1。",含蓄是一种奢侈。,潜袭者,反叛者,程序,分解模块 - 破解器,,3,,,,,,3,3,1,,2,Cat Shen
30007,核心网关,核心网关,7,Fermenter,发酵罐,"当你安装本程序时及你的回合开始时，放置1枚病毒指示物到本程序上。
[click]，[trash]<strong>:</strong> 每有1枚所附载的病毒指示物，获得2[credit]。","“厨艺可是细活。每个加工周期都让锅里的东西愈发香甜，但也让温度愈发升高。我常常搅拌一整晚，但没有多少人和我一样享受这份危险。”
—勒内·“野狼”·阿斯蒙特",潜袭者,反叛者,程序,病毒,,3,,,,,,1,,1,,2,Cat Shen
30008,核心网关,核心网关,8,Leech,水蛭,"每当你对中央服务器进行一次成功的潜袭时，放置1枚病毒指示物到本程序上。
<strong>所附载的病毒指示物:</strong> 本次遭遇的剩余时间内，当前正在遭遇的防火墙的强度-1。",公司会议室外的吸血饕餮。,潜袭者,反叛者,程序,病毒,,3,,,,,,1,,1,,1,Cat Shen
30009,核心网关,核心网关,9,Cookbook,食谱,每当你安装一个<strong>病毒</strong>程序时，你可以放置1枚病毒指示物到该程序上。,"“它潜伏在最深栖息地之下的一个无标号内存条处。愤怒且绝望的灵魂搜寻着它，向它索求改变这残酷世界的力量。当他们无法再饱餐那苦涩的复仇后，便回到那无名的隧道，食谱的厚度又增加了一页。”
—海因莱因都市传说",潜袭者,反叛者,资源,虚拟,是,3,,,,,,1,,,,3,Cat Shen
30010,核心网关,核心网关,10,Zahya Sadeghi: Versatile Smuggler,扎赫亚·萨迪吉: 多才多艺的走私者,每回合限一次 → 当对总部或研发中心的一次潜袭结束时，你可以获得与你本次潜袭中读取单张卡牌次数相等的[credit]。,我能搞到你想要的。,潜袭者,逆法者,潜袭者特性,半机械人,,1,,,0,40,15,,,,,,Benjamin Giletti
30011,核心网关,核心网关,11,Mutual Favor,互惠互利,在你的存储栈搜寻1个<strong>破解器</strong>程序并展示之。<em>（在搜寻存储栈后将其洗混。）</em>如果你本回合已进行过成功的潜袭，你可以安装该程序。如果你未安装该程序，将其加入你的操控器。,路途中结识的伙伴才是真正的回报。,潜袭者,逆法者,事件,,,3,,,,,,0,,,,3,David Lei
30012,核心网关,核心网关,12,Tread Lightly,蹑手蹑脚,潜袭任意一台服务器。在本次潜袭中，每层防火墙的激活费用加3[credit]。,"“镜纤维模组或是高级披风可能会有所帮助，但什么都比不上一句‘给我tmd保持低调’。”
—“D鼠”·奥莱恩",潜袭者,逆法者,事件,潜袭,,3,,,,,,1,,,,1,Jack Reeves
30013,核心网关,核心网关,13,Docklands Pass,码头区通行证,每回合你第一次侵入总部时，额外读取1张卡牌。,扎赫亚认识码头区和穹顶之间每个通道的门卫。更重要的是，她知道他们的要价。,潜袭者,逆法者,硬件,,是,3,,,,,,2,,,,2,David Lei
30014,核心网关,核心网关,14,Pennyshaver,便士刮刀,"+1[mu]
每当你进行一次成功的潜袭时，放置1[credit]到本硬件上。
[click]<strong>:</strong> 放置1[credit]到本硬件上，然后拿取本硬件上所有的信用点。
每位玩家限制1个<strong>控制台</strong>。","“爱吹牛的人总说自己要干一票大的。但聚沙成塔的耐心才能助你发家致富。”
—扎赫亚",潜袭者,逆法者,硬件,控制台,是,3,,,,,,3,,,,3,Martin de Diego Sádaba
30015,核心网关,核心网关,15,Carmen,卡门,"如果你本回合已进行过成功的潜袭，本程序的安装费用减2[credit]。
对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。
<strong>2[credit]:</strong> 强度+3。","海阔天空静候君临，
君等意愿即为律法。",潜袭者,逆法者,程序,破解器 - 断路模块,,3,,,,,,5,2,1,,2,Jack Reeves
30016,核心网关,核心网关,16,Marjanah,玛雅娜,"对接 → <strong>2[credit]:</strong> 破解1条<strong>屏障</strong>子进程。如果你本回合已进行过成功的潜袭，本能力的费用减1[credit]。
<strong>1[credit]:</strong> 强度+1。","“站着不动可统御不了王国。”
—扎赫亚·萨迪吉",潜袭者,逆法者,程序,分解模块 - 破解器,,3,,,,,,0,1,1,,1,Jack Reeves
30017,核心网关,核心网关,17,Tranquilizer,镇静剂,"仅能安装在一层防火墙上。<em>（如果被附载的防火墙被卸载，销毁本程序。）</em>
当你安装本程序及你的回合开始时，放置1枚病毒指示物到本程序上。然后，如果所附载的病毒指示物有3枚或更多，关闭被附载的防火墙。",嘘。该睡觉了。,潜袭者,逆法者,程序,木马 - 病毒,,3,,,,,,2,,1,,3,Jack Reeves
30018,核心网关,核心网关,18,Red Team,假想敌,"当你安装本资源时，填装12[credit]到本资源上。当其清空时，销毁之。
[click]<strong>:</strong> 潜袭一台你本回合未潜袭过的中央服务器。如果成功，从本资源上拿取3[credit]。",海因莱因穹顶是残酷资本主义的高压锅。准雇主很少有时间去做背景调查。,潜袭者,逆法者,资源,工作,,3,,,,,,5,,,,2,David Lei
30019,核心网关,核心网关,19,Tāo Salonga: Telepresence Magician,涛·萨隆加: 网真魔术师,每当一个议案被计分或窃取时，你可以互换2层已安装的防火墙。,炉火纯青的技巧与魔法无异。,潜袭者,塑造者,潜袭者特性,原生人,,1,,,0,40,15,,,,,,Benjamin Giletti
30020,核心网关,核心网关,20,Creative Commission,创作委托,获得5[credit]。如果你有任何剩余的[click]，失去[click]。,我为艺术挑战而活，但也不会拒绝有品味的金主。,潜袭者,塑造者,事件,,,3,,,,,,1,,,,2,Benjamin Giletti
30021,核心网关,核心网关,21,VRcation,虚幻假日,抽4张卡牌。如果你有任何剩余的[click]，失去[click]。,"“你知道静海里没有水吧？”
“那可不意味着没有海滩。”",潜袭者,塑造者,事件,,,3,,,,,,1,,,,2,Benjamin Giletti
30022,核心网关,核心网关,22,DZMZ Optimizer,DZMZ优化器,"+1[mu]
每回合你安装的第一个程序的安装费用减1[credit]。",涛呼了口气，医疗用外骨骼一如既往地稳住了他。就在那一气之间，他通过层层远程操控和优化器，从芯片中剔除了错误的部分。,潜袭者,塑造者,硬件,,,3,,,,,,2,,,,2,David Lei
30023,核心网关,核心网关,23,Pantograph,缩放仪,"+1[mu]
每当一个议案被计分或窃取时，获得1[credit]。然后，你可以从你的操控器安装1张卡牌。
每位玩家限制1个<strong>控制台</strong>。","“有了这个美妙的小宝贝，我可以仅通过触觉反馈同时耍好几趟潜袭给你看！”
—涛",潜袭者,塑造者,硬件,控制台,是,3,,,,,,2,,,,3,Martin de Diego Sádaba
30024,核心网关,核心网关,24,Conduit,灵媒,"每当对研发中心的一次成功的潜袭结束时，你可以放置1枚病毒指示物到本程序上。
[click]<strong>:</strong> 潜袭研发中心。如果成功，当你侵入研发中心时，额外读取X张卡牌。X等于所附载的病毒指示物数量。","对真相一知半解是最危险的幻象。
要么将原始数据流一饮而尽，要么就干脆别去品尝。",潜袭者,塑造者,程序,病毒,,3,,,,,,4,,1,,4,Liiga Smilshkalne
30025,核心网关,核心网关,25,Echelon,梯队,"每有1个已安装的<strong>破解器</strong><em>（包括本程序在内）</em>，本程序的强度+1。
对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。
<strong>3[credit]:</strong> 强度+2。",开放式项目的妙处在于——每个都建立在已有的成功之上。,潜袭者,塑造者,程序,破解器 - 断路模块,,3,,,,,,3,0,1,,1,Liiga Smilshkalne
30026,核心网关,核心网关,26,Unity,团结,"对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>1[credit]:</strong> 强度+X。X等于已安装的<strong>破解器</strong>数量<em>（包括本程序在内）</em>。",手写代码的乐趣在于——每行都完美嵌入整体。,潜袭者,塑造者,程序,解码模块 - 破解器,,3,,,,,,3,1,1,,2,Liiga Smilshkalne
30027,核心网关,核心网关,27,Telework Contract,远程工作合约,"当你安装本资源时，填装9[credit]到本资源上。当其清空时，销毁之。
每回合限一次 → [click]<strong>:</strong> 从本资源上拿取3[credit]。","“我也不知道都是谁在跟我一起挖矿，没准是杰克威兰本尊也说不准。”
—莱恩",潜袭者,塑造者,资源,工作,,3,,,,,,1,,,,2,Benjamin Giletti
30028,核心网关,核心网关,28,Jailbreak,越狱,潜袭总部或研发中心。如果成功，抽1张卡牌，且当你侵入被攻击的服务器时，额外读取1张卡牌。,"“我们从他们的私卫那里拿到了通行代码——通过物理手段提升权限。”
—触媒",潜袭者,中立潜袭者,事件,潜袭,,3,,,,,,0,,,,0,David Lei
30029,核心网关,核心网关,29,Overclock,超频,放置5[credit]到本事件上，然后潜袭任意一台服务器。你可以在本次潜袭中花费所附载的信用点。,"“在381FS4开始独自行动后，一切都乱套了。它开始重接自己的脑芯片……甚至探测<strong>我们的</strong>节点。我不得不把它关掉。”
—莱纳斯·洛夫古德，网际传媒创新与收购部",潜袭者,中立潜袭者,事件,潜袭,,3,,,,,,1,,,,0,Scott Uminga
30030,核心网关,核心网关,30,Sure Gamble,胜券在握,获得9[credit]。,任何人都能花时间去谋划、练习、准备……但让这些看起来像是好运傍身，就需要你自己的<strong>气场</strong>了。,潜袭者,中立潜袭者,事件,,,3,,,,,,5,,,,0,Kira L. Nguyen
30031,核心网关,核心网关,31,T400 Memory Diamond,T400记忆钻石,"+1[mu]
你的手牌上限+1。",LLDS仍然保有它的专利，但优秀的技术总会招来山寨。,潜袭者,中立潜袭者,硬件,芯片,,3,,,,,,2,,,,0,Elizaveta Sokolova
30032,核心网关,核心网关,32,Mayfly,蜉蝣,"对接 → <strong>1[credit]:</strong> 破解1条子进程。当本次潜袭结束时，销毁本程序。
<strong>1[credit]:</strong> 强度+1。",编译哪怕最简单的智能模块程序也要花上好几个星期，而潜袭中可能也就用上个几秒钟，但正是那闪耀的一瞬……却能让你做<strong>任何</strong>你想做的事。,潜袭者,中立潜袭者,程序,智能模块 - 破解器,,3,,,,,,1,1,2,,0,Scott Uminga
30033,核心网关,核心网关,33,Smartware Distributor,智能装置经销商,"[click]<strong>:</strong> 放置3[credit]到本资源上。
当你的回合开始时，从本资源上拿取1[credit]。",22世纪科技产品最棒之处在于: 如果这几十年下来它还能正常运行，你就能知道这东西的质量到底有多过硬。,潜袭者,中立潜袭者,资源,人脉,,3,,,,,,0,,,,0,Benjamin Giletti
30034,核心网关,核心网关,34,Verbal Plasticity,口才再塑,每回合你第一次通过基础行动抽1张卡牌时，改为抽2张卡牌。,"“有些孩子是为了美貌、运动细胞或能整宿不眠不知疲倦而转基因。我爸妈觉得布罗卡转基因模组很酷。这下好了。我已经能流利地说十种语言了，还是找不到合适的词来感谢他们。”
—光子，黑羊当空",潜袭者,中立潜袭者,资源,基因,是,3,,,,,,3,,,,0,David Lei
30035,核心网关,核心网关,35,Haas-Bioroid: Precision Design,哈斯生化: 精密设计,"你的手牌上限+1。
每当你将一个议案计分时，你可以将1张卡牌从档案库加入总部。",原子排列分毫不差。,公司,哈斯生化,公司特性,巨型公司,,1,,,,40,15,,,,,,Emilio Rodríguez
30036,核心网关,核心网关,36,Luminal Transubstantiation,光脑体变,"当你将本议案计分时，获得[click][click][click]。你在本回合剩余时间内不能将议案计分。
每套牌组限制1张。",我们是明日之光。,公司,哈斯生化,议案,研究,,1,3,2,,,,,,,,,Zoe Cohen
30037,核心网关,核心网关,37,Nico Campaign,尼可营销计划,"当你激活本资产时，填装9[credit]到本资产上。当其清空时，销毁之并抽1张卡牌。
当你的回合开始时，从本资产上拿取3[credit]。",哈斯以为他们开启了一条全新的双性产品生产线。实际上，他们是为我们造出了千万个等待解放的手足同胞。,公司,哈斯生化,资产,广告,,3,,,,,,2,,,2,2,David Lei
30038,核心网关,核心网关,38,Ansel 1.0,安塞尔1.0,"<strong>失去[click]:</strong> 破解1条本防火墙上的子进程。只有潜袭者可以使用本能力。
[subroutine] 销毁1张已安装的潜袭者卡牌。
[subroutine] 你可以从总部或档案库安装1张卡牌。
[subroutine] 本次潜袭的剩余时间内，潜袭者不能窃取或销毁公司卡牌。",<strong>由2018年欧洲锦标赛冠军Patrick Gower设计</strong>,公司,哈斯生化,防火墙,生化人 - 毁灭者 - 警报,,3,,,,,,6,4,,,3,Galen Dara
30039,核心网关,核心网关,39,Brân 1.0,布兰1.0,"<strong>失去[click]:</strong> 破解1条本防火墙上的子进程。只有潜袭者可以使用本能力。
[subroutine] 你可以从总部或档案库安装1层防火墙，将其直接放置在本防火墙的内侧，忽略所有的费用。
[subroutine] 终止本次潜袭。
[subroutine] 终止本次潜袭。",巨人醒来…,公司,哈斯生化,防火墙,屏障 - 生化人,,3,,,,,,6,6,,,2,Galen Dara
30040,核心网关,核心网关,40,Seamless Launch,无瑕发布会,放置2枚推进指示物到1张已安装但并非你在本回合安装的卡牌上。,"对待生化人的第一课很简单: 决不能放任其产生感情。
—杜尔明",公司,哈斯生化,事务,,,3,,,,,,1,,,,2,David Lei
30041,核心网关,核心网关,41,Sprint,疾跑,抽3张卡牌。将2张卡牌从总部洗入研发中心。,每时每刻都是关键时刻。,公司,哈斯生化,事务,,,3,,,,,,0,,,,1,Galen Dara
30042,核心网关,核心网关,42,Manegarm Skunkworks,逐月狼秘密开发部,每当潜袭者接驳本服务器时，终止本次潜袭，除非潜袭者花费[click][click]或支付5[credit]。,"“是谁的记忆磁带需要如此严密的防卫呢？”
—触媒",公司,哈斯生化,升级,,是,3,,,,,,2,,,3,3,David Lei
30043,核心网关,核心网关,43,Jinteki: Restoring Humanity,人间会社: 修复人性,当你的弃牌阶段结束时，如果档案库中有牌面朝下的卡牌，获得1[credit]。,结束痛苦。,公司,人间会社,公司特性,巨型公司,,1,,,,40,15,,,,,,Emilio Rodríguez
30044,核心网关,核心网关,44,Longevity Serum,长生精华液,"当你将本议案计分时，从总部销毁任意数量的卡牌。将最多3张卡牌从档案库洗入研发中心。
每套牌组限制1张。",我们使你重获新生。,公司,人间会社,议案,研究,,1,3,2,,,,,,,,,N. Hopkins
30045,核心网关,核心网关,45,Urtica Cipher,荨麻暗码,"你可以推进本资产。
当潜袭者读取已安装的本资产时，造成2点网域伤害，并且每有1枚所附载的推进指示物，伤害量增加1点。",柯罗诺斯科技的一项新颖衍生品，是将敏感数据与以人道方式获取的受伤员工脑内映像混合在一起。很少有入侵者能在转瞬间承受千年灼伤之苦。,公司,人间会社,资产,伏击,,3,,,,,,0,,,2,2,David Lei
30046,核心网关,核心网关,46,Diviner,卜卦者,[subroutine] 造成1点网域伤害。如果你以此法销毁了一张印刷打出费用或安装费用为奇数的卡牌，终止本次潜袭。<em>（0不是奇数。）</em>,只需一次生物特征扫描便可预知你的未来。,公司,人间会社,防火墙,杀伤 - 门禁,,3,,,,,,2,3,,,2,BalanceSheet
30047,核心网关,核心网关,47,Karunā,慈悲,"[subroutine] 造成2点网域伤害。潜袭者可以退出潜袭。
[subroutine] 造成2点网域伤害。",不是你侥幸逃脱，而是对方手下留情。,公司,人间会社,防火墙,杀伤 - 警报,,3,,,,,,4,3,,,2,BalanceSheet
30048,核心网关,核心网关,48,Hansei Review,自我反省,获得10[credit]。如果总部中有卡牌，销毁其中1张。,"“时刻自省是迈向卓越的关键。我们会记住失败的构想，但不会继续执行。”
—加濑理事，在某个领导力研讨会",公司,人间会社,事务,交易,,3,,,,,,5,,,,1,David Lei
30049,核心网关,核心网关,49,Neurospike,神经突刺,造成X点网域伤害，X等于你本回合所计分的议案的印刷议案分数总和。,信网中的宏观尺度发展，会将先前的信息态解耦——然后这些剩余熵将被“赠送”给最“需要”的人。,公司,人间会社,事务,灰色行动,,3,,,,,,3,,,,3,BalanceSheet
30050,核心网关,核心网关,50,Anoetic Void,无明虚空,每当潜袭者接驳本服务器时，你可以支付2[credit]并从总部销毁2张卡牌。如果你如此做，终止本次潜袭。,"信网自我演化，扭曲出未曾想象也无法想象的空间：神衹与其它信息危害的领域，嘲弄着我们为了区区因果律作出的牺牲。
—应用神学的概念框架",公司,人间会社,升级,,是,3,,,,,,0,,,1,4,BalanceSheet
30051,核心网关,核心网关,51,NBN: Reality Plus,网际传媒: 身临其境,每回合潜袭者第一次拿取一枚锁定标记时，获得2[credit]或抽2张卡牌。,为何要满足于现实世界？,公司,网际传媒,公司特性,巨型公司,,1,,,,40,15,,,,,,Emilio Rodríguez
30052,核心网关,核心网关,52,Tomorrowʼs Headline,明日头条,"当本议案被计分或窃取时，给予潜袭者1枚锁定标记。
每套牌组限制1张。",我们不发现新闻。我们制造新闻。,公司,网际传媒,议案,伏击,,1,3,2,,,,,,,,,NtscapeNavigator
30053,核心网关,核心网关,53,Spin Doctor,舆论操盘手,"当你激活本资产时，抽2张卡牌。
<strong>将本资产移出游戏:</strong> 将最多2张卡牌从档案库洗入研发中心。",“你的项目真是烂到连狗都不理，要是不想和它<strong>一起</strong>彻底从大众视野里消失的话，就赶紧滚到各个商业秀去，充当个让观众喷到爽的滚刀肉。,公司,网际传媒,资产,人物,是,3,,,,,,0,,,2,1,David Lei
30054,核心网关,核心网关,54,Funhouse,欢乐屋,"当潜袭者遭遇本防火墙时，终止本次潜袭，除非潜袭者拿取1枚锁定标记。
[subroutine] 给予潜袭者1枚锁定标记，除非其支付4[credit]。","“这次直播之后我可能要离开VR休息一段时间了。”
—“低俗之海”，复感直播主",公司,网际传媒,防火墙,门禁,,3,,,,,,5,4,,,2,Bruno Balixa
30055,核心网关,核心网关,55,Ping,PING,"在对本服务器的潜袭中，当你激活本防火墙时，给予潜袭者1枚锁定标记。
[subroutine] 终止本次潜袭。","用户ID:??:73.174 时间=0.632 ms
用户ID:??:73.174 时间=0.201 ms
用户ID:??:73.174 时间=0.000 ms <strong>警告</strong>",公司,网际传媒,防火墙,屏障,,3,,,,,,2,1,,,2,Bruno Balixa
30056,核心网关,核心网关,56,Predictive Planogram,消费预测智慧商城,结算下列中的1项。如果潜袭者被锁定，你可以改为两项都结算。<ul><li>获得3[credit]。</li><li>抽3张卡牌。</li></ul>,为了最佳的AR购物体验，请关闭反追踪保护。,公司,网际传媒,事务,交易,,3,,,,,,0,,,,1,Bruno Balixa
30057,核心网关,核心网关,57,Public Trail,公开足迹,"只有潜袭者在其上回合进行过成功的潜袭时，才能打出。
给予潜袭者1枚锁定标记，除非其支付8[credit]。","“潜袭者将大量资源用于消除自己的足迹。每过一循环，都更难将其定位。但现在游戏规则变了。在海因莱因，没有人能一天不碰<strong>我们的</strong>AR网络。”
—凯西·拉罗莎，月球网络防卫管理员",公司,网际传媒,事务,灰色行动,,3,,,,,,4,,,,2,Bruno Balixa
30058,核心网关,核心网关,58,AMAZE Amusements,惊奇迷乐园,持久 → 每当对本服务器的一次潜袭结束时，如果潜袭者在本次潜袭中窃取过议案，给予潜袭者2枚锁定标记。<em>（如果潜袭者读取本卡牌时将其销毁，本能力在本次潜袭的剩余时间内依然有效。）</em>,免费赠送纪念品！,公司,网际传媒,升级,,是,3,,,,,,1,,,3,3,Bruno Balixa
30059,核心网关,核心网关,59,Weyland Consortium: Built to Last,威兰财团: 建造不朽,每当你推进一张卡牌时，如果其上原来没有推进指示物，获得2[credit]。,岿然不动。,公司,威兰财团,公司特性,巨型公司,,1,,,,40,15,,,,,,Emilio Rodríguez
30060,核心网关,核心网关,60,Above the Law,凌驾法律,"当你将本议案计分时，你可以销毁1个已安装的资源。
每套牌组限制1张。",我们是法官，是陪审团，也是刽子手。,公司,威兰财团,议案,防卫,,1,3,2,,,,,,,,,Seojun Park
30061,核心网关,核心网关,61,Clearinghouse,清算所,"你可以推进本资产。
当你的回合开始时，你可以销毁本资产。如果你如此做，每有1枚所附载的推进指示物，造成1点肢体伤害。","“做这行的第一原则：确保在交易进行时你没有‘个人法律责任’。”
—泰德·杰·孙，中央对手清算所",公司,威兰财团,资产,敌对,,3,,,,,,0,,,3,3,David Lei
30062,核心网关,核心网关,62,Ballista,弩炮,[subroutine] 销毁1个已安装的程序或终止本次潜袭。,"“在你的基地和计划上<strong>都</strong>打一个洞。”
—勒内·“野狼”·阿斯蒙特",公司,威兰财团,防火墙,毁灭者 - 警报,,3,,,,,,5,4,,,2,Owen Sinodov
30063,核心网关,核心网关,63,Pharos,大灯塔,"你可以推进本防火墙。只要所附载的推进指示物有3枚或更多，本防火墙的强度便+5。
[subroutine] 给予潜袭者1枚锁定标记。
[subroutine] 终止本次潜袭。
[subroutine] 终止本次潜袭。",,公司,威兰财团,防火墙,屏障,,3,,,,,,7,5,,,3,Owen Sinodov
30064,核心网关,核心网关,64,Government Subsidy,政府补贴,获得15[credit]。,"“如果政府肯从给我们的资金里拿出1%，用来追踪另外99%去了哪里，那我和我的同事们就得去蹲号子了……
……但那只是<strong>如果</strong>。”
—休伊·德莫拉，威兰公私合作促进研讨会",公司,威兰财团,事务,交易,,3,,,,,,10,,,,1,David Lei
30065,核心网关,核心网关,65,Retribution,打击报复,"只有潜袭者被锁定时，才能打出。
销毁1个已安装的程序或硬件。",你以为你能蒙混过关吗？,公司,威兰财团,事务,灰色行动,,3,,,,,,1,,,,1,David Lei
30066,核心网关,核心网关,66,Malapert Data Vault,马拉柏特数据密库,每当你将本服务器根目录中的议案计分时，你可以在研发中心搜寻1张非议案卡牌并展示之。<em>（在搜寻研发中心后将其洗混。）</em>将该卡牌加入总部。,环形山内终年不见天日，是财团邪恶秘密的完美居所。,公司,威兰财团,升级,,是,3,,,,,,1,,,4,3,Owen Sinodov
30067,核心网关,核心网关,67,Offworld Office,地外办公室,当你将本议案计分时，获得7[credit]。,作为第一座月球城市，海因莱因是建立在对新领域和无限机遇的梦想之上的，但氦-3采矿业的利润太高，因而公司一直都没有放弃控制权。,公司,中立公司,议案,扩张,,3,4,2,,,,,,,,0,Benjamin Giletti
30068,核心网关,核心网关,68,Orbital Superiority,轨道压制,当你将本议案计分时，如果潜袭者被锁定，造成4点肢体伤害; 否则，给予潜袭者1枚锁定标记。,犯罪团伙贿赂警察，而巨型公司并购军队。,公司,中立公司,议案,防卫,,3,4,2,,,,,,,,0,Krembler
30069,核心网关,核心网关,69,Send a Message,以儆效尤,当本议案被计分或窃取时，你可以激活1层已安装的防火墙，忽略所有的费用。,这次就此作罢，但下次<strong>定</strong>不放过。,公司,中立公司,议案,防卫,,3,5,3,,,,,,,,0,David Lei
30070,核心网关,核心网关,70,Superconducting Hub,超导枢纽,"当你将本议案计分时，你可以抽2张卡牌。
你的手牌上限+2。",在地月通讯中，节省几微秒都会带来巨大财富。,公司,中立公司,议案,扩张,,3,3,1,,,,,,,,0,Scott Uminga
30071,核心网关,核心网关,71,Regolith Mining License,表岩屑开采许可,"当你激活本资产时，填装15[credit]到本资产上。当其清空时，销毁之。
[click]<strong>:</strong> 从本资产上拿取3[credit]。","“三个世界的经济都由月面氦-3的开采来维持。所有权力的支点，所有人生存的关键——都卖给了最高出价者。”
—触媒",公司,中立公司,资产,,,3,,,,,,2,,,3,0,Benjamin Giletti
30072,核心网关,核心网关,72,Palisade,围栏,"只要本防火墙保护远程服务器，其强度便+2。
[subroutine] 终止本次潜袭。",防君子不防小人。,公司,中立公司,防火墙,屏障,,3,,,,,,3,2,,,0,Scott Uminga
30073,核心网关,核心网关,73,Tithe,什一税,"[subroutine] 造成1点网域伤害。
[subroutine] 获得1[credit]。","“你会奉献直至成伤……然后它会伸手索要更多。”
—红发科明",公司,中立公司,防火墙,杀伤 - 警报,,3,,,,,,1,1,,,0,Scott Uminga
30074,核心网关,核心网关,74,Whitespace,空白,"[subroutine] 潜袭者失去3[credit]。
[subroutine] 如果潜袭者具有6[credit]或更少，终止本次潜袭。",[此处特意留白],公司,中立公司,防火墙,门禁,,3,,,,,,2,0,,,0,Scott Uminga
30075,核心网关,核心网关,75,Hedge Fund,对冲基金,获得9[credit]。,一种将资金从外部转移到内部的金融工具。,公司,中立公司,事务,交易,,3,,,,,,5,,,,0,Kira L. Nguyen
30076,核心网关,核心网关,76,The Catalyst: Convention Breaker,触媒: 特立独行,仅用于起始包对战。,准备好开始干大事了吗？,潜袭者,中立潜袭者,潜袭者特性,原生人,,1,,,0,30,,,,,,,Benjamin Giletti
30077,核心网关,核心网关,77,The Syndicate: Profit over Principle,商盟: 利益高于原则,仅用于起始包对战。,你在给我们打工，只是你不知道。,公司,中立公司,公司特性,巨型公司,,1,,,,30,,,,,,,Emilio Rodríguez
32001,北极光,极昼增强包,1,Light the Fire!,点燃星火！,[click]，[trash]，<strong>受到1点核心伤害:</strong> 潜袭一台远程服务器。在本次潜袭中，被攻击的服务器根目录中的卡牌失去所有能力。当本次潜袭成功时，销毁被攻击的服务器根目录中的所有卡牌。,,潜袭者,反叛者,资源,破坏,,3,,,,,,1,,,,2,Olie Boldador
32002,北极光,极昼增强包,2,Revolver,左轮手枪,"当你安装本程序时，放置6枚能量指示物到本程序上。
对接 → [trash]或<strong>所附载的能量指示物:</strong> 破解1条<strong>警报</strong>子进程。
<strong>2[credit]:</strong> 强度+3。",,潜袭者,逆法者,程序,破解器 - 断路模块 - 武器,,3,,,,,,2,1,1,,3,Bruno Balixa
32003,北极光,极昼增强包,3,Deep Dive,深潜,"只有你本回合对总部、研发中心与档案库均进行过成功的潜袭时，才能打出。
公司必须将研发中心顶端8张卡牌牌面朝上置于一旁。读取其中1张卡牌。你可以花费[click]，以读取其中另1张卡牌。然后，公司将置于一旁的卡牌洗入研发中心。",,潜袭者,塑造者,事件,,,3,,,,,,2,,,,5,Cat Shen
32004,北极光,极昼增强包,4,Hákarl 1.0,生化鲨1.0,"在对本服务器的潜袭中，当你激活本防火墙时，你可以关闭另一张已安装的卡牌。如果你如此做，潜袭者在本回合剩余时间内不能使用<strong>生化人</strong>防火墙上印刷的付费能力。<strong>失去[click]:</strong> 破解1条本防火墙上的子进程。只有潜袭者可以使用本能力。
[subroutine] 造成1点核心伤害。
[subroutine] 终止本次潜袭。",,公司,哈斯生化,防火墙,杀伤 - 屏障 - 生化人,,3,,,,,,5,4,,,3,Jakuza
32005,北极光,极昼增强包,5,Anemone,海葵,"在对本服务器的潜袭中，当你激活本防火墙时，你可以从总部销毁1张卡牌，以造成2点网域伤害。
[subroutine] 造成1点网域伤害。",,公司,人间会社,防火墙,杀伤 - 警报,,3,,,,,,3,2,,,2,Jack Reeves
